PRODUCT_NAME,PRICE,Image URL
무슈제이 베이직 아쿠아 보습 올인원 1+1 기획(200ml+200ml),24900.0,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0017/A00000017689922ko.jpg?l=ko
우르오스 올인원 단품/기획 2종 택 1,29700.0,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0011/A00000011754126ko.jpg?l=ko
아이디얼 포 맨 프레시 올인원 젤 로션 1+1 한정기획,28000.0,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0020/A00000020506102ko.jpg?l=ko
아이디얼 포 맨 퍼펙트 올인원 HDEX콜라보 더블기획,48000.0,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0019/A00000019889002ko.jpg?l=ko
라운드랩 1025 독도 로션 400ml 대용량,39000.0,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0016/A00000016150810ko.jpg?l=ko
아벤느 트릭세라 뉴트리-플루이드 로션 200ml 더블 기획,44000.0,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0020/A00000020693402ko.jpg?l=ko
온그리디언츠 스킨 베리어 카밍 속광 로션 기획(220ml+80ml),39900.0,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0020/A00000020635203ko.jpg?l=ko
[올영픽/티벳동생PICK] 토리든 다이브인 포맨 저분자 히알루론산 올인원 200g 단품/기획 (+클렌징폼 30ml),24000.0,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0020/A00000020711107ko.jpg?l=ko
닥터지 레드 블레미쉬 포 맨 올인원 오일컷 로션 150ml 기획(+30ml 추가증정),32000.0,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0018/A00000018523509ko.jpg?l=ko
피지오겔 DMT 데일리보습 로션 200ml,38000.0,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0001/A00000001280903ko.jpg?l=ko
[초저분자 히알루론산]아이디얼 포 맨 프레시 올인원 150mL 단품/기획(2024 AD),30000.0,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0020/A00000020647402ko.jpg?l=ko
